State Name,UVPbitNoPage,SMBAlert,UVP0,Pok,Vmain,UVP1,readPage
295,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
296,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
297,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
298,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
299,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
300,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
301,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
302,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
303,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
304,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
305,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
306,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
307,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
308,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
309,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
310,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
311,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,FF
312,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
313,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
314,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
315,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
316,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,01
317,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,00
318,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
319,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
320,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
321,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,01
322,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,01
323,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
324,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
325,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,00
326,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,00
327,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
328,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
329,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
330,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
331,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
332,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
333,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
334,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
335,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
336,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
337,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,FF
338,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,FF
339,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,FF
340,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
341,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
342,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
343,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
344,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
345,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,FF
346,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
347,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
348,1,(3- 3.6),1,(3- 3.6),(11.8- 12.6),0,FF
349,0,(3- 3.6),1,(3- 3.6),(11.8- 12.6),0,01
350,0,(-0.1- 1),1,(3- 3.6),(11.8- 12.6),0,01
