State Name,UVP0,UVP1,readPage,Pok,SMBAlert,Vmain,UVPbitNoPage
299,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
300,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
301,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
302,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
303,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
304,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
305,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
306,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
307,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
308,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
309,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
310,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
311,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
312,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
313,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
314,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
315,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
316,1,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
317,1,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
318,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
319,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
320,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
321,1,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
322,1,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
323,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
324,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
325,1,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
326,1,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
327,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
328,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
329,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
330,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
331,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
